Cust Index,Customer Id,First Name,Last Name,Company,City,Country,Phone 1,Phone 2,Email,Subscription Date,Website
1,CID000001,Name1,Johnson,Org52668,Toronto,Canada,463-472-6099,483-789-4977,name1@example.com,2023-01-01,http://example.com
2,CID000002,Name2,Patel,Org82487,Toronto,Canada,528-858-4518,717-696-5929,name2@example.com,2023-01-01,http://example.com
3,CID000003,Name3,Lee,Org35126,Toronto,Canada,183-524-2733,188-562-1482,name3@example.com,2023-01-01,http://example.com
4,CID000004,Name4,Johnson,Org14973,Toronto,Canada,853-463-3833,135-650-8481,name4@example.com,2023-01-01,http://example.com
5,CID000005,Name5,Lee,Org8057,Toronto,Canada,757-590-7402,490-914-4376,name5@example.com,2023-01-01,http://example.com
6,CID000006,Name6,Johnson,Org12081,Toronto,Canada,875-916-4409,930-899-5379,name6@example.com,2023-01-01,http://example.com
7,CID000007,Name7,Garcia,Org58881,Toronto,Canada,424-632-6740,160-919-1884,name7@example.com,2023-01-01,http://example.com
8,CID000008,Name8,Patel,Org80530,Toronto,Canada,461-467-2762,371-497-6345,name8@example.com,2023-01-01,http://example.com
9,CID000009,Name9,Smith,Org94083,Toronto,Canada,431-135-8287,646-457-1330,name9@example.com,2023-01-01,http://example.com
10,CID000010,Name10,Johnson,Org55919,Toronto,Canada,299-776-8277,790-958-4044,name10@example.com,2023-01-01,http://example.com
11,CID000011,Name11,Johnson,Org84408,Toronto,Canada,600-879-6688,192-511-3237,name11@example.com,2023-01-01,http://example.com
12,CID000012,Name12,Smith,Org597,Toronto,Canada,777-563-2874,241-214-8693,name12@example.com,2023-01-01,http://example.com
13,CID000013,Name13,Garcia,Org88400,Toronto,Canada,212-561-8102,988-790-1333,name13@example.com,2023-01-01,http://example.com
14,CID000014,Name14,Lee,Org89888,Toronto,Canada,967-386-3632,719-899-5533,name14@example.com,2023-01-01,http://example.com
15,CID000015,Name15,Lee,Org17639,Toronto,Canada,968-434-7429,918-208-8348,name15@example.com,2023-01-01,http://example.com
16,CID000016,Name16,Lee,Org48683,Toronto,Canada,822-862-8344,175-575-4082,name16@example.com,2023-01-01,http://example.com
17,CID000017,Name17,Smith,Org10092,Toronto,Canada,894-122-8169,407-969-2402,name17@example.com,2023-01-01,http://example.com
18,CID000018,Name18,Garcia,Org67998,Toronto,Canada,754-696-1541,266-793-5777,name18@example.com,2023-01-01,http://example.com
19,CID000019,Name19,Johnson,Org46460,Toronto,Canada,872-919-1050,552-110-8563,name19@example.com,2023-01-01,http://example.com
20,CID000020,Name20,Johnson,Org43189,Toronto,Canada,219-175-7986,136-169-4771,name20@example.com,2023-01-01,http://example.com
21,CID000021,Name21,Lee,Org74261,Toronto,Canada,560-553-6836,759-899-7782,name21@example.com,2023-01-01,http://example.com
22,CID000022,Name22,Lee,Org63561,Toronto,Canada,633-101-1635,973-305-9093,name22@example.com,2023-01-01,http://example.com
23,CID000023,Name23,Garcia,Org98174,Toronto,Canada,669-755-7651,300-864-5947,name23@example.com,2023-01-01,http://example.com
24,CID000024,Name24,Garcia,Org98458,Toronto,Canada,190-809-9820,678-597-3279,name24@example.com,2023-01-01,http://example.com
25,CID000025,Name25,Garcia,Org75949,Toronto,Canada,970-891-3868,938-435-1277,name25@example.com,2023-01-01,http://example.com
26,CID000026,Name26,Garcia,Org64827,Toronto,Canada,795-419-9850,951-773-2194,name26@example.com,2023-01-01,http://example.com
27,CID000027,Name27,Lee,Org36669,Toronto,Canada,544-982-1512,721-225-5878,name27@example.com,2023-01-01,http://example.com
28,CID000028,Name28,Smith,Org47743,Toronto,Canada,344-428-6456,123-860-2626,name28@example.com,2023-01-01,http://example.com
29,CID000029,Name29,Smith,Org95111,Toronto,Canada,489-451-7648,606-940-4863,name29@example.com,2023-01-01,http://example.com
30,CID000030,Name30,Lee,Org72407,Toronto,Canada,755-756-1649,126-801-2643,name30@example.com,2023-01-01,http://example.com
31,CID000031,Name31,Johnson,Org48193,Toronto,Canada,609-676-2972,530-748-6322,name31@example.com,2023-01-01,http://example.com
32,CID000032,Name32,Johnson,Org35170,Toronto,Canada,963-735-3885,487-790-7774,name32@example.com,2023-01-01,http://example.com
33,CID000033,Name33,Johnson,Org28563,Toronto,Canada,697-594-6418,410-825-4989,name33@example.com,2023-01-01,http://example.com
34,CID000034,Name34,Smith,Org81404,Toronto,Canada,461-723-5584,951-591-8559,name34@example.com,2023-01-01,http://example.com
35,CID000035,Name35,Garcia,Org84461,Toronto,Canada,601-152-6154,433-473-8715,name35@example.com,2023-01-01,http://example.com
36,CID000036,Name36,Garcia,Org3576,Toronto,Canada,376-776-6051,912-422-4180,name36@example.com,2023-01-01,http://example.com
37,CID000037,Name37,Smith,Org67848,Toronto,Canada,295-532-2962,617-976-7383,name37@example.com,2023-01-01,http://example.com
38,CID000038,Name38,Patel,Org22583,Toronto,Canada,437-886-6983,746-152-5580,name38@example.com,2023-01-01,http://example.com
39,CID000039,Name39,Smith,Org29438,Toronto,Canada,368-500-1262,320-237-4886,name39@example.com,2023-01-01,http://example.com
40,CID000040,Name40,Garcia,Org63465,Toronto,Canada,575-712-7959,305-720-4006,name40@example.com,2023-01-01,http://example.com
41,CID000041,Name41,Patel,Org77333,Toronto,Canada,450-651-7424,206-680-7097,name41@example.com,2023-01-01,http://example.com
42,CID000042,Name42,Lee,Org80714,Toronto,Canada,628-440-6978,276-592-1232,name42@example.com,2023-01-01,http://example.com
43,CID000043,Name43,Garcia,Org12263,Toronto,Canada,397-851-7684,694-288-4623,name43@example.com,2023-01-01,http://example.com
44,CID000044,Name44,Garcia,Org23713,Toronto,Canada,590-892-4375,608-293-7360,name44@example.com,2023-01-01,http://example.com
45,CID000045,Name45,Lee,Org25951,Toronto,Canada,717-171-5646,657-737-1044,name45@example.com,2023-01-01,http://example.com
46,CID000046,Name46,Garcia,Org16891,Toronto,Canada,351-388-1052,365-977-6358,name46@example.com,2023-01-01,http://example.com
47,CID000047,Name47,Lee,Org56339,Toronto,Canada,471-455-7495,169-512-1762,name47@example.com,2023-01-01,http://example.com
48,CID000048,Name48,Johnson,Org50220,Toronto,Canada,521-812-3661,556-433-2565,name48@example.com,2023-01-01,http://example.com
49,CID000049,Name49,Lee,Org29336,Toronto,Canada,733-953-2336,322-547-1210,name49@example.com,2023-01-01,http://example.com
50,CID000050,Name50,Johnson,Org27334,Toronto,Canada,514-936-8855,479-143-7769,name50@example.com,2023-01-01,http://example.com
51,CID000051,Name51,Johnson,Org80828,Toronto,Canada,639-344-1275,981-518-4338,name51@example.com,2023-01-01,http://example.com
52,CID000052,Name52,Patel,Org51810,Toronto,Canada,988-818-5053,506-128-8494,name52@example.com,2023-01-01,http://example.com
53,CID000053,Name53,Patel,Org26533,Toronto,Canada,397-859-3751,826-435-9099,name53@example.com,2023-01-01,http://example.com
54,CID000054,Name54,Smith,Org41671,Toronto,Canada,725-212-6675,503-613-1592,name54@example.com,2023-01-01,http://example.com
55,CID000055,Name55,Johnson,Org8164,Toronto,Canada,615-810-5359,639-295-3391,name55@example.com,2023-01-01,http://example.com
56,CID000056,Name56,Patel,Org55728,Toronto,Canada,640-112-3556,780-405-2590,name56@example.com,2023-01-01,http://example.com
57,CID000057,Name57,Smith,Org30564,Toronto,Canada,291-978-5216,318-647-2545,name57@example.com,2023-01-01,http://example.com
58,CID000058,Name58,Johnson,Org8613,Toronto,Canada,706-803-1234,955-518-3484,name58@example.com,2023-01-01,http://example.com
59,CID000059,Name59,Lee,Org99118,Toronto,Canada,684-462-5493,860-741-3549,name59@example.com,2023-01-01,http://example.com
60,CID000060,Name60,Garcia,Org36556,Toronto,Canada,123-946-1832,963-824-3610,name60@example.com,2023-01-01,http://example.com
61,CID000061,Name61,Johnson,Org74317,Toronto,Canada,614-451-7138,495-504-2394,name61@example.com,2023-01-01,http://example.com
62,CID000062,Name62,Johnson,Org82552,Toronto,Canada,664-556-3740,533-831-2435,name62@example.com,2023-01-01,http://example.com
63,CID000063,Name63,Johnson,Org23387,Toronto,Canada,782-398-3373,820-637-9997,name63@example.com,2023-01-01,http://example.com
64,CID000064,Name64,Johnson,Org44907,Toronto,Canada,145-530-6298,759-325-7900,name64@example.com,2023-01-01,http://example.com
65,CID000065,Name65,Johnson,Org77458,Toronto,Canada,244-440-3377,726-773-6827,name65@example.com,2023-01-01,http://example.com
66,CID000066,Name66,Smith,Org28971,Toronto,Canada,420-646-9753,186-897-4682,name66@example.com,2023-01-01,http://example.com
67,CID000067,Name67,Smith,Org28194,Toronto,Canada,374-686-6036,932-471-6573,name67@example.com,2023-01-01,http://example.com
68,CID000068,Name68,Johnson,Org95948,Toronto,Canada,947-363-6189,434-375-5249,name68@example.com,2023-01-01,http://example.com
69,CID000069,Name69,Johnson,Org27938,Toronto,Canada,962-624-6267,589-310-3729,name69@example.com,2023-01-01,http://example.com
70,CID000070,Name70,Lee,Org62368,Toronto,Canada,814-461-7304,342-700-6588,name70@example.com,2023-01-01,http://example.com
71,CID000071,Name71,Patel,Org39080,Toronto,Canada,318-416-7950,908-249-1007,name71@example.com,2023-01-01,http://example.com
72,CID000072,Name72,Lee,Org79873,Toronto,Canada,627-479-4344,851-445-1685,name72@example.com,2023-01-01,http://example.com
73,CID000073,Name73,Lee,Org96426,Toronto,Canada,637-356-9909,624-372-7522,name73@example.com,2023-01-01,http://example.com
74,CID000074,Name74,Garcia,Org20039,Toronto,Canada,666-918-7780,203-625-4820,name74@example.com,2023-01-01,http://example.com
75,CID000075,Name75,Johnson,Org31324,Toronto,Canada,736-923-7357,506-750-5030,name75@example.com,2023-01-01,http://example.com
76,CID000076,Name76,Lee,Org92752,Toronto,Canada,391-848-7344,587-328-1872,name76@example.com,2023-01-01,http://example.com
77,CID000077,Name77,Johnson,Org33500,Toronto,Canada,921-165-3836,368-594-4672,name77@example.com,2023-01-01,http://example.com
78,CID000078,Name78,Garcia,Org53451,Toronto,Canada,158-541-5665,599-612-8951,name78@example.com,2023-01-01,http://example.com
79,CID000079,Name79,Garcia,Org56290,Toronto,Canada,963-104-8230,718-434-2162,name79@example.com,2023-01-01,http://example.com
80,CID000080,Name80,Johnson,Org75204,Toronto,Canada,943-237-2383,740-520-1810,name80@example.com,2023-01-01,http://example.com
81,CID000081,Name81,Smith,Org16851,Toronto,Canada,639-921-1545,335-706-3002,name81@example.com,2023-01-01,http://example.com
82,CID000082,Name82,Smith,Org46538,Toronto,Canada,500-325-3092,197-164-9326,name82@example.com,2023-01-01,http://example.com
83,CID000083,Name83,Smith,Org74819,Toronto,Canada,608-597-1213,493-418-5068,name83@example.com,2023-01-01,http://example.com
84,CID000084,Name84,Johnson,Org77965,Toronto,Canada,834-772-5512,290-110-3278,name84@example.com,2023-01-01,http://example.com
85,CID000085,Name85,Smith,Org17981,Toronto,Canada,358-743-8375,559-961-9178,name85@example.com,2023-01-01,http://example.com
86,CID000086,Name86,Patel,Org89095,Toronto,Canada,145-518-5910,335-210-7613,name86@example.com,2023-01-01,http://example.com
87,CID000087,Name87,Patel,Org37532,Toronto,Canada,592-397-6657,307-130-3718,name87@example.com,2023-01-01,http://example.com
88,CID000088,Name88,Garcia,Org37569,Toronto,Canada,821-108-5571,218-279-2546,name88@example.com,2023-01-01,http://example.com
89,CID000089,Name89,Smith,Org12619,Toronto,Canada,582-794-9309,499-806-4022,name89@example.com,2023-01-01,http://example.com
90,CID000090,Name90,Lee,Org76725,Toronto,Canada,893-903-9366,477-256-1046,name90@example.com,2023-01-01,http://example.com
91,CID000091,Name91,Johnson,Org32919,Toronto,Canada,236-316-6799,154-944-1892,name91@example.com,2023-01-01,http://example.com
92,CID000092,Name92,Smith,Org53518,Toronto,Canada,829-526-1438,614-747-6929,name92@example.com,2023-01-01,http://example.com
93,CID000093,Name93,Smith,Org55988,Toronto,Canada,737-789-9455,459-410-8544,name93@example.com,2023-01-01,http://example.com
94,CID000094,Name94,Johnson,Org1476,Toronto,Canada,623-669-1734,839-817-8306,name94@example.com,2023-01-01,http://example.com
95,CID000095,Name95,Johnson,Org62425,Toronto,Canada,158-887-6269,313-891-5973,name95@example.com,2023-01-01,http://example.com
96,CID000096,Name96,Lee,Org25926,Toronto,Canada,613-480-4719,947-745-1416,name96@example.com,2023-01-01,http://example.com
97,CID000097,Name97,Lee,Org24431,Toronto,Canada,346-667-4999,119-307-8911,name97@example.com,2023-01-01,http://example.com
98,CID000098,Name98,Lee,Org27586,Toronto,Canada,453-130-8507,676-794-7288,name98@example.com,2023-01-01,http://example.com
99,CID000099,Name99,Smith,Org67439,Toronto,Canada,296-866-4896,706-504-1571,name99@example.com,2023-01-01,http://example.com
100,CID000100,Name100,Patel,Org96312,Toronto,Canada,246-990-1398,509-246-2143,name100@example.com,2023-01-01,http://example.com
101,CID000101,Name101,Patel,Org4470,Toronto,Canada,351-788-7882,984-922-5126,name101@example.com,2023-01-01,http://example.com
102,CID000102,Name102,Johnson,Org99135,Toronto,Canada,486-883-6164,286-349-5011,name102@example.com,2023-01-01,http://example.com
103,CID000103,Name103,Smith,Org15498,Toronto,Canada,440-723-3096,499-927-7571,name103@example.com,2023-01-01,http://example.com
104,CID000104,Name104,Lee,Org86671,Toronto,Canada,999-417-5485,436-535-6239,name104@example.com,2023-01-01,http://example.com
105,CID000105,Name105,Garcia,Org45087,Toronto,Canada,874-333-9350,385-310-9327,name105@example.com,2023-01-01,http://example.com
106,CID000106,Name106,Smith,Org87502,Toronto,Canada,481-334-7186,507-252-2361,name106@example.com,2023-01-01,http://example.com
107,CID000107,Name107,Smith,Org48450,Toronto,Canada,712-790-9152,194-662-2436,name107@example.com,2023-01-01,http://example.com
108,CID000108,Name108,Garcia,Org99116,Toronto,Canada,561-417-1420,812-555-6698,name108@example.com,2023-01-01,http://example.com
109,CID000109,Name109,Smith,Org57808,Toronto,Canada,623-663-4569,821-326-3115,name109@example.com,2023-01-01,http://example.com
